date_started,date_ended,disaster_type,incident_type,incident_title,days_lasted,county,state,state_abbr,division_name,region_name,fip_code
2003-07-21,2003-08-25,DR,Tornado,"Tornadoes, Flooding, Severe Storms, And High Winds",35.0,Cuyahoga County,Ohio,OH,East North Central,Midwest,OH-035
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Cuyahoga County,Ohio,OH,East North Central,Midwest,OH-035
2012-10-29,2012-10-30,DR,Hurricane,Severe Storms And Flooding Due To The Remnants Of Hurricane Sandy,1.0,Cuyahoga County,Ohio,OH,East North Central,Midwest,OH-035
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Pickaway County,Ohio,OH,East North Central,Midwest,OH-129
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,Pickaway County,Ohio,OH,East North Central,Midwest,OH-129
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Pickaway County,Ohio,OH,East North Central,Midwest,OH-129
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Allen County,Ohio,OH,East North Central,Midwest,OH-003
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Allen County,Ohio,OH,East North Central,Midwest,OH-003
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Morrow County,Ohio,OH,East North Central,Midwest,OH-117
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Morrow County,Ohio,OH,East North Central,Midwest,OH-117
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,La Crosse County,Wisconsin,WI,East North Central,Midwest,WI-063
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,La Crosse County,Wisconsin,WI,East North Central,Midwest,WI-063
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Vernon County,Wisconsin,WI,East North Central,Midwest,WI-123
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Vernon County,Wisconsin,WI,East North Central,Midwest,WI-123
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Langlade County,Wisconsin,WI,East North Central,Midwest,WI-067
2002-09-02,2002-09-06,DR,Tornado,"Severe Storms, Tornadoes And Flooding",4.0,Langlade County,Wisconsin,WI,East North Central,Midwest,WI-067
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Langlade County,Wisconsin,WI,East North Central,Midwest,WI-067
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Walworth County,Wisconsin,WI,East North Central,Midwest,WI-127
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Walworth County,Wisconsin,WI,East North Central,Midwest,WI-127
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Marathon County,Wisconsin,WI,East North Central,Midwest,WI-073
2002-09-02,2002-09-06,DR,Tornado,"Severe Storms, Tornadoes And Flooding",4.0,Marathon County,Wisconsin,WI,East North Central,Midwest,WI-073
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Marathon County,Wisconsin,WI,East North Central,Midwest,WI-073
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Washburn County,Wisconsin,WI,East North Central,Midwest,WI-129
2002-09-02,2002-09-06,DR,Tornado,"Severe Storms, Tornadoes And Flooding",4.0,Washburn County,Wisconsin,WI,East North Central,Midwest,WI-129
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Washburn County,Wisconsin,WI,East North Central,Midwest,WI-129
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Ashland County,Wisconsin,WI,East North Central,Midwest,WI-003
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Ashland County,Wisconsin,WI,East North Central,Midwest,WI-003
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Ozaukee County,Wisconsin,WI,East North Central,Midwest,WI-089
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Ozaukee County,Wisconsin,WI,East North Central,Midwest,WI-089
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Buffalo County,Wisconsin,WI,East North Central,Midwest,WI-011
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Buffalo County,Wisconsin,WI,East North Central,Midwest,WI-011
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pierce County,Wisconsin,WI,East North Central,Midwest,WI-093
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Pierce County,Wisconsin,WI,East North Central,Midwest,WI-093
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Barron County,Wisconsin,WI,East North Central,Midwest,WI-005
2002-09-02,2002-09-06,DR,Tornado,"Severe Storms, Tornadoes And Flooding",4.0,Barron County,Wisconsin,WI,East North Central,Midwest,WI-005
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Barron County,Wisconsin,WI,East North Central,Midwest,WI-005
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pepin County,Wisconsin,WI,East North Central,Midwest,WI-091
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Pepin County,Wisconsin,WI,East North Central,Midwest,WI-091
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Dunn County,Wisconsin,WI,East North Central,Midwest,WI-033
2002-09-02,2002-09-06,DR,Tornado,"Severe Storms, Tornadoes And Flooding",4.0,Dunn County,Wisconsin,WI,East North Central,Midwest,WI-033
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Dunn County,Wisconsin,WI,East North Central,Midwest,WI-033
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Richland County,Wisconsin,WI,East North Central,Midwest,WI-103
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Richland County,Wisconsin,WI,East North Central,Midwest,WI-103
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Crawford County,Wisconsin,WI,East North Central,Midwest,WI-023
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Crawford County,Wisconsin,WI,East North Central,Midwest,WI-023
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Polk County,Wisconsin,WI,East North Central,Midwest,WI-095
2002-09-02,2002-09-06,DR,Tornado,"Severe Storms, Tornadoes And Flooding",4.0,Polk County,Wisconsin,WI,East North Central,Midwest,WI-095
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Polk County,Wisconsin,WI,East North Central,Midwest,WI-095
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Trempealeau County,Wisconsin,WI,East North Central,Midwest,WI-121
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Trempealeau County,Wisconsin,WI,East North Central,Midwest,WI-121
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Jefferson County,Wisconsin,WI,East North Central,Midwest,WI-055
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Jefferson County,Wisconsin,WI,East North Central,Midwest,WI-055
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Grant County,Wisconsin,WI,East North Central,Midwest,WI-043
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Grant County,Wisconsin,WI,East North Central,Midwest,WI-043
1965-04-21,1965-04-21,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,St. Croix County,Wisconsin,WI,East North Central,Midwest,WI-109
2002-09-02,2002-09-06,DR,Tornado,"Severe Storms, Tornadoes And Flooding",4.0,St. Croix County,Wisconsin,WI,East North Central,Midwest,WI-109
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,St. Croix County,Wisconsin,WI,East North Central,Midwest,WI-109
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Whiteside County,Illinois,IL,East North Central,Midwest,IL-195
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Whiteside County,Illinois,IL,East North Central,Midwest,IL-195
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Adams County,Illinois,IL,East North Central,Midwest,IL-001
2002-04-21,2002-05-23,DR,Tornado,"Severe Storms, Tornadoes And Flooding",32.0,Adams County,Illinois,IL,East North Central,Midwest,IL-001
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Adams County,Illinois,IL,East North Central,Midwest,IL-001
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Carroll County,Illinois,IL,East North Central,Midwest,IL-015
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Carroll County,Illinois,IL,East North Central,Midwest,IL-015
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Henderson County,Illinois,IL,East North Central,Midwest,IL-071
